Author,Year,Country,EffiX,VE_any,VE_severe,VE_hosp,Incomplete VE_1 dose_any RVGE,Incomplete VE_1 dose_Severe RVGE,Incomplete VE_1 dose_hospitalization,Incomplete VE_2 dose_hospitalization,Age range,Any<12mo,Severe<12mo,Hosp <12mo,Any12-24mo,Severe12-24mo,Hosp12-24mo,Any>24mo,Severe>24mo,Hosp>24mo,RV incidence rate_any /100 infant,RV incidence rate_severe /100 infant,RV incidence rate_hospitalization /100 infant,Population density,U5 mortality rate,Crude birth rate,GDP per capita,% of population using safely managed drinking water,% of population using safely managed sanitation,Prevalence of undernourishment,Prevalence of HIV,Gini index,Progression to secondary school(female%),% of population living in extreme poverty (<$2/day),Income share held by lowest 20%,Urban population (% of total)
,,Malawi,1,,61.2,,,,,,,,,,,,,,,,,,,137.6,103.6,42.4,308.2,NULL,NULL,20.6,11.6,42,81.9,72,62,15.1
Cunliffe,2012,Malawi,1,,38.1,,,,,,"6, 10, and 14 weeks, follow up to 2 years of age", ,49.4,,,17.6,,,,,12.5,8.15 (episode per 100 infant yr is 16.3 during 2 year follow up time),,137.6,103.6,42.4,308.2,NULL,NULL,20.6,11.6,42,81.9,72,62,15.1
Kawamura,2011,Japan,1,79.3,91.6,74.9,,,,,6 Weeks to 14 Weeks,,,,,,,,,,8.7,2.9,,351.3,3.4,8.7,39339.3,98,98.5,2.5,NULL,34.8,100,0.5,8.4,89.1
Li,2014,China,1,58.1,72,81,,,,,6-16 weeks,70,75,85.7,45.6,70.2,71.8,,,,,,,142.6,14.6,11,5433.7,NULL,50.7,2.5,NULL,42.4,100,7.9,5.4,50.5
Colgate,2016,Bangladesh,1,51,73.5,,,,,,birth cohort (first week),,,,,,,,,,9.5,6.1,,1173.6,41.6,19.9,981.8,55.6,NULL,14.2,NULL,32,NULL,17.6,8.7,32
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV5 Efficacy,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesikari,2006,International REST study,1,74,98,95.8,,,,,6-12 weeks, ,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,1,,98,95.8,,,,,,,,,,,,,,,,,,342.7,5.2,11,30587.7,99.5,85.6,2.5,NULL,28.1,NULL,0.3,8.5,97.3
,,Costa Rica,1,,98,95.8,,,,,,,,,,,,,,,,,,81.6,11.8,17.5,4129.6,88.4,NULL,5.3,0.2,49.3,90,4.6,3.7,63.1
,,Finland,1,,98,95.8,,,,,,,,,,,,,,,,,,17.115,4,10.9,32855.1,94.3,99,2.5,NULL,27.7,100,0,9.4,82.6
,,Germany,1,,98,95.8,,,,,,,,,,,,,,,,,,236.6,5,8.6,30243.6,99.8,95.5,2.5,NULL,30,99.4,0,8.6,75.6
,,Guatemala,1,,98,95.8,,,,,,,,,,,,,,,,,,115.9,46,33.2,1765.4,48.3,NULL,19,0.4,54.3,91.3,10.2,3.4,46.3
,,Italy,1,,98,95.8,,,,,,,,,,,,,,,,,,194.9,4.8,9.5,27465.7,88.1,NULL,2.5,0.2,34.9,99.2,0.8,6.7,67.5
,,Mexico,1,,98,95.8,,,,,,,,,,,,,,,,,,53.027,24.7,22.6,7075.4,39.7,19.9,6.3,NULL,50,93.9,75.7,,
,,Puerto Rico,1,,98,95.8,,,,,,,,,,,,,,,,,,431.4,NULL,13.1,19557.1,75,32.5,NULL,NULL,NULL,NULL,NULL,NULL,94.2
,,Sweden,1,,98,95.8,,,,,,,,,,,,,,,,,,21.8,3.9,11.1,37321.8,99.9,92.6,2.5,NULL,25.3,100,0.3,9.3,84.2
,,Taiwan,1,,98,95.8,,,,,,,,,,,,,,,,,,,NULL,,,,,,,,,,,
,,United States,1,,98,95.8,,,,,,,,,,,,,,,,,,31.7,8.1,14.1,39496.5,NULL,88.5,2.5,0.4,40.3,NULL,1,5.2,79.6
